Term 1	Term 2	Term 3	Frequency of Trigram	Frequency of Context	Conditional Probability of Trigram
con	el	rostro	2	7	0.2857142857142857
$	solo	he	2	9	0.2222222222222222
ya	te	iba	2	6	0.3333333333333333
te	iba	a	2	2	1.0
$	lol	#	2	2	1.0
que	te	matan	2	27	0.07407407407407407
te	matan	?	2	2	1.0
$	un	día	2	7	0.2857142857142857
en	la	vida	2	27	0.07407407407407407
con	que	me	2	4	0.5
$	Lucky	u	2	2	1.0
Lucky	u	#	2	2	1.0
que	es	la	2	24	0.08333333333333333
mi	familia	y	2	5	0.4
$	XDD	#	2	2	1.0
mejor	?	#	2	2	1.0
ya	todo	cool	2	2	1.0
$	me	mandas	2	58	0.034482758620689655
la	experiencia	#	2	2	1.0
$	bien	#	2	5	0.4
$	respetable	#	2	3	0.6666666666666666
lets	see	#	2	2	1.0
,	como	que	2	4	0.5
bastante	interesantes	,	2	3	0.6666666666666666
que	no	son	2	48	0.041666666666666664
no	me	queda	2	25	0.08
en	ese	momento	2	7	0.2857142857142857
$	y	ahora	2	50	0.04
no	te	da	2	15	0.13333333333333333
muchas	gracias	:)	2	3	0.6666666666666666
gracias	:)	#	2	2	1.0
con	mis	amigos	2	4	0.5
$	creo	#	2	18	0.1111111111111111
$	la	historia	2	22	0.09090909090909091
a	las	9	2	14	0.14285714285714285
por	qué	#	2	16	0.125
(	?	)	2	2	1.0
?	)	#	2	2	1.0
toda	la	vida	2	5	0.4
como	estás	?	2	2	1.0
$	pero	así	2	57	0.03508771929824561
por	eso	sí	2	8	0.25
$	es	#	2	27	0.07407407407407407
escuela	en	linea	2	3	0.6666666666666666
tal	estuvo	#	2	2	1.0
sé	xd	#	2	2	1.0
$	Quizás	tenga	2	3	0.6666666666666666
la	vida	de	2	6	0.3333333333333333
en	efecto	#	2	2	1.0
$	jajaj	#	2	3	0.6666666666666666
$	es	de	2	27	0.07407407407407407
$	y	se	2	50	0.04
,	me	daba	2	24	0.08333333333333333
$	que	te	2	86	0.023255813953488372
el	semestre	#	2	3	0.6666666666666666
verdad	es	que	2	2	1.0
es	que	sí	2	28	0.07142857142857142
parcial	?	#	2	2	1.0
te	va	a	2	8	0.25
$	pero	la	2	57	0.03508771929824561
pero	la	verdad	2	3	0.6666666666666666
$	ciertamente	#	2	3	0.6666666666666666
muy	bien	,	2	12	0.16666666666666666
sueñas	con	los	2	2	1.0
con	los	angelitos	2	6	0.3333333333333333
$	what's	that	2	5	0.4
