Term 1	Term 2	Frequency of Bigram	Frequency of context	Conditional Probability of Bigram
por	la	5	109	0.045871559633027525
sí	lo	5	78	0.0641025641025641
me	la	5	304	0.01644736842105263
tiene	que	5	14	0.35714285714285715
$	Ahora	5	3186	0.001569365976145637
$	how	5	3186	0.001569365976145637
un	poco	5	108	0.046296296296296294
espero	que	5	10	0.5
$	Bien	5	3186	0.001569365976145637
gracias	#	5	13	0.38461538461538464
en	los	5	240	0.020833333333333332
$	todo	5	3186	0.001569365976145637
en	pachuca	5	240	0.020833333333333332
$	jaja	5	3186	0.001569365976145637
del	cecyt	5	35	0.14285714285714285
jeje	#	5	5	1.0
a	cdmx	5	359	0.013927576601671309
$	qué	5	3186	0.001569365976145637
ti	?	4	14	0.2857142857142857
en	línea	4	240	0.016666666666666666
Ya	estás	4	30	0.13333333333333333
$	Same	4	3186	0.0012554927809165098
no	sabía	4	341	0.011730205278592375
de	cosas	4	499	0.008016032064128256
cosas	de	4	24	0.16666666666666666
jaja	,	4	52	0.07692307692307693
que	tú	4	696	0.005747126436781609
$	Está	4	3186	0.0012554927809165098
,	una	4	525	0.007619047619047619
que	cuando	4	696	0.005747126436781609
$	Realmente	4	3186	0.0012554927809165098
$	Son	4	3186	0.0012554927809165098
Yep	#	4	10	0.4
la	secundaria	4	284	0.014084507042253521
ya	hace	4	126	0.031746031746031744
igual	que	4	16	0.25
como	una	4	93	0.043010752688172046
la	semana	4	284	0.014084507042253521
,	muy	4	525	0.007619047619047619
y	en	4	191	0.020942408376963352
parece	que	4	9	0.4444444444444444
algo	que	4	46	0.08695652173913043
jsjs	#	4	4	1.0
,	tengo	4	525	0.007619047619047619
mis	amigos	4	28	0.14285714285714285
$	Más	4	3186	0.0012554927809165098
el	problema	4	224	0.017857142857142856
eso	no	4	54	0.07407407407407407
$	not	4	3186	0.0012554927809165098
$	casi	4	3186	0.0012554927809165098
antes	de	4	14	0.2857142857142857
hacer	un	4	30	0.13333333333333333
cerca	#	4	6	0.6666666666666666
?	,	4	611	0.006546644844517185
imagino	#	4	16	0.25
que	cool	4	696	0.005747126436781609
tengo	una	4	45	0.08888888888888889
pero	en	4	126	0.031746031746031744
tienes	razón	4	33	0.12121212121212122
razón	#	4	7	0.5714285714285714
$	era	4	3186	0.0012554927809165098
$	son	4	3186	0.0012554927809165098
también	,	4	29	0.13793103448275862
vacaciones	?	4	14	0.2857142857142857
qué	?	4	37	0.10810810810810811
$	también	4	3186	0.0012554927809165098
en	que	4	240	0.016666666666666666
ya	tengo	4	126	0.031746031746031744
$	ni	4	3186	0.0012554927809165098
nope	#	4	6	0.6666666666666666
el	viernes	4	224	0.017857142857142856
,	soy	4	525	0.007619047619047619
se	supone	4	139	0.02877697841726619
ver	qué	4	38	0.10526315789473684
tuyo	?	4	5	0.8
yo	me	4	86	0.046511627906976744
para	la	4	83	0.04819277108433735
$	los	4	3186	0.0012554927809165098
""""	no	4	57	0.07017543859649122
entonces	#	4	20	0.2
fue	?	4	24	0.16666666666666666
guess	#	4	7	0.5714285714285714
$	Una	4	3186	0.0012554927809165098
las	cosas	4	74	0.05405405405405406
de	una	4	499	0.008016032064128256
$	Nunca	4	3186	0.0012554927809165098
cute	#	4	4	1.0
mi	papá	4	92	0.043478260869565216
sé	que	4	31	0.12903225806451613
,	desde	4	525	0.007619047619047619
Así	es	4	10	0.4
mis	abuelos	4	28	0.14285714285714285
pero	ya	4	126	0.031746031746031744
menos	#	4	26	0.15384615384615385
porque	no	4	21	0.19047619047619047
hay	un	4	30	0.13333333333333333
$	Al	4	3186	0.0012554927809165098
ya	se	4	126	0.031746031746031744
la	foto	4	284	0.014084507042253521
$	antes	4	3186	0.0012554927809165098
$	entonces	4	3186	0.0012554927809165098
empecé	a	4	5	0.8
con	la	4	81	0.04938271604938271
$	Pon	4	3186	0.0012554927809165098
Pon	hora	4	4	1.0
la	profesora	4	284	0.014084507042253521
eso	sí	4	54	0.07407407407407407
digo	que	4	8	0.5
$	buen	4	3186	0.0012554927809165098
a	perder	4	359	0.011142061281337047
$	porque	4	3186	0.0012554927809165098
tu	día	4	77	0.05194805194805195
$	0.o	4	3186	0.0012554927809165098
el	tuyo	4	224	0.017857142857142856
me	queda	4	304	0.013157894736842105
$	ª	4	3186	0.0012554927809165098
ª	#	4	4	1.0
