Term 1	Term 2	Frequency of Bigram	Frequency of context	Conditional Probability of Bigram
,	#	2	76	0.02631578947368421
es	otro	2	64	0.03125
otro	pedo	2	4	0.5
la	pantalla	2	108	0.018518518518518517
pantalla	de	2	3	0.6666666666666666
la	predicción	2	108	0.018518518518518517
ey	,	2	11	0.18181818181818182
el	gus	2	127	0.015748031496062992
contesta	#	2	5	0.4
que	mañana	2	211	0.009478672985781991
el	avance	2	127	0.015748031496062992
para	la	2	38	0.05263157894736842
el	back	2	127	0.015748031496062992
que	quede	2	211	0.009478672985781991
fino	#	2	3	0.6666666666666666
$	acabo	2	1206	0.001658374792703151
$	andaba	2	1206	0.001658374792703151
hay	tanto	2	15	0.13333333333333333
tanto	pedo	2	4	0.5
pedo	de	2	13	0.15384615384615385
$	ajá	2	1206	0.001658374792703151
ajá	#	2	2	1.0
$	veremos	2	1206	0.001658374792703151
veremos	#	2	2	1.0
estar	en	2	7	0.2857142857142857
que	de	2	211	0.009478672985781991
veo	qp	2	4	0.5
paco	#	2	7	0.2857142857142857
$	dile	2	1206	0.001658374792703151
3	#	2	6	0.3333333333333333
el	video	2	127	0.015748031496062992
no	sé	2	161	0.012422360248447204
del	modelo	2	26	0.07692307692307693
modelo	es	2	3	0.6666666666666666
lo	mismo	2	74	0.02702702702702703
falta	de	2	14	0.14285714285714285
,	en	2	76	0.02631578947368421
varios	warnings	2	3	0.6666666666666666
warnings	y	2	2	1.0
$	osea	2	1206	0.001658374792703151
ya	anda	2	73	0.0273972602739726
$	ight	2	1206	0.001658374792703151
ight	#	2	2	1.0
la	verdad	2	108	0.018518518518518517
vez	#	2	7	0.2857142857142857
que	entregar	2	211	0.009478672985781991
completo	#	2	2	1.0
si	quieres	2	64	0.03125
ti	#	2	3	0.6666666666666666
por	lo	2	22	0.09090909090909091
a	decir	2	119	0.01680672268907563
decir	que	2	6	0.3333333333333333
lo	sé	2	74	0.02702702702702703
sé	#	2	4	0.5
la	app	2	108	0.018518518518518517
$	andas	2	1206	0.001658374792703151
pero	creo	2	44	0.045454545454545456
ser	#	2	8	0.25
dime	si	2	7	0.2857142857142857
o	solo	2	26	0.07692307692307693
paco	y	2	7	0.2857142857142857
dime	#	2	7	0.2857142857142857
pero	si	2	44	0.045454545454545456
lo	pides	2	74	0.02702702702702703
los	3	2	27	0.07407407407407407
3	que	2	6	0.3333333333333333
jueves	#	2	2	1.0
10	y	2	7	0.2857142857142857
